SEQ_FUNDAMENTO_LEGAL#SEQ_FUNDAMENTO_LEGAL_PAI#DESCRICAO#GLOSSARIO
650#1474#2.04.01 Súmula 284/STF - art. 619 do CPP - quando os vícios indicados não tenham sido suscitados em embargos de declaração na origem (sem embargos na origem ou ausência de embargos sobre o tema) - Suficiência Criminal#
652#1351#2.01.01 Súmula 284/STF - indicação de violação de dispositivo legal inexistente#
653#1356#2.06.01 Súmula 284/STF "a" - indicação de violação ao art. 1.022 do CPC (art. 535 do CPC/73), sem especificar os incisos e os vícios do acórdão recorrido#
654#1350#2.11 Súmula 284/STF "a" - ausência de indicação dos dispositivos da rescisória#
655#1356#2.06.03 Súmula 284/STF - indicação de violação do art. 619 do CPP, sem especificar os vícios do acórdão recorrido e/ou relevância do dispositivo de lei apontado como omisso para o julgamento da causa - Suficiência Criminal#
657#1394#6.08.01 Não cabimento de recurso especial contra acórdão fundado em norma infralegal, ainda que se alegue violação a dispositivo de lei federal#
658#1361#7.01.01 Premissa fática totalmente dissociada daquela adotada pelo acórdão recorrido  #
659#1380#11.01.03 Dissídio de tese não prequestionada#
660#1430#10.24 Súmula 7/STJ - Júri - Despronúncia - Desclassificação - Qualificadoras#
661#1430#10.25 Súmula 7/STJ - Continuidade delitiva#
662#1350#2.10 Súmula 284/STF - Suficiência Criminal - Ausência de comando normativo do dispositivo legal apontado como violado#
663#1385#5.02.01 Norma infraconstitucional que é mera reprodução do texto da Constitucional Federal#
666#1397#10.02.01 Súmula 7/STJ Genérico - Suficiência Criminal#
667#1430#10.27 Súmula 7/STJ - Preenchimento do requisito subjetivo para concessão de benefício na execução penal#
670#1480#13.02 Cabimento de recurso ordinário - decisão denegatória de habeas corpus#
682#1413#6.16 Não cabimento do recurso especial de Ação Rescisória pelo inc. V, do art. 966 - Violação de Norma Local#
685#1430#10.19 Súmula 7/STJ tráfico privilegiado/habitualidade#
698#1365#4.01.01 - indicação genérica de artigo de lei federal interpretado de maneira divergente, sem especificar de forma clara seus incisos/alíneas#
703#1430#10.17 Improbidade Administrativa - Revisão das Sanções - Súmula 7/STJ#
704#1430#10.23 Súmula 7/STJ - prisão preventiva - requisitos#
706#1480#13.01 Súmula 207/STJ - Não exaurimento de instância - embargos infringentes - Suficiência Criminal #
710#1404#9.04 Ausência de prequestionamento da tese recursal relativa à prescrição, ainda que se trate de matéria de ordem pública - Suficiência Criminal#
711#1430#10.26 Súmula 7/STJ - Tentativa - Fração de redução da pena#
715#1430#10.20 Súmula 7/STJ - Júri/decisão contrária à prova dos autos#
731#1430#10.21 Súmula 7/STJ - Júri/desaforamento#
732#1430#10.22 Súmula 7/STJ - desclassificação delitiva#
734#1430#10.16 Improbidade Administrativa - Dano ao Erário - Súmula 7/STJ#
735#1430#10.15 Improbidade Administrativa - Elemento Subjetivo (Dolo ou Culpa) - Súmula 7/STJ#
736#1430#10.18 Mero Dissabor/Dano moral - Súmula 7/STJ#
737#1365#4.01.02 indicação de interpretação divergente de artigo de lei federal sem comando normativo para amparar a tese recursal#
1348##01. Súmula 284/STF - Permissivo Constitucional#
1349#1348#1.01 Súmula 284/STF "a" - ausência de indicação expressa do permissivo constitucional#
1350##02. Súmula 284/STF - Alínea "a"#Súmula 284/STF - Alínea "a"
1351#1350#2.01 Súmula 284/STF "a" - ausência de indicação expressa do dispositivo legal violado nas razões do recurso especial#
1352#1350#2.02 Súmula 284/STF "a" - indicação genérica de violação à determinada lei federal, sem que seja especificado de forma clara o dispositivo legal contrariado#
1353#1350#2.03 Súmula 284/STF "a" -  indicação genérica de violação a dispositivo de lei federal, sem especificar de forma clara seus incisos/alíneas#
1354#1383#5.12 Não cabimento de recurso especial por ofensa a norma diversa de tratado internacional ou lei federal#
1355#1350#2.05 Súmula 284/STF "a" - indicação de violação ao art. 1.022 do CPC (art. 535 do CPC/73), sem especificar os incisos do dispositivo legal contrariado#
1356#1350#2.06 Súmula 284/STF "a" - indicação de violação ao art. 1.022 do CPC (art. 535 do CPC/73), sem especificar quais os vícios do acórdão recorrido#
1357#1350#2.07 Súmula 284/STF "a" - indicação de dispositivos legais violados sem que se faça a devida correlação entre eles e a fundamentação das teses recursais#
1359#1350#2.09 Súmula 284/STF "a" - o dispositivo legal apontado como violado não tem comando normativo para amparar a tese recursal#
1360#1350#2.12 Súmula 284/STF "a" - deficiência na fundamentação (genérica)#
1361#1429#7.01 Súmula 284/STF "a" - razões recursais totalmente dissociadas do acórdão#
1362#1429#7.02 Súmula 284/STF "a" - razões  - ausência de impugnação específica#
1364##04. Divergência Jurisprudencial - Alínea "c"#
1365#1364#4.01 Súmula 284/STF "c" - ausência de indicação expressa do dispositivo legal objeto da divergência#
1366#1364#4.02 NÃO USAR - FUNDAMENTO INUTILIZADO#
1367#1364#4.03 INCORPORADO AO ÓBICE 4.04.10#
1368#1364#4.04 Vícios que prejudicam a comprovação da divergência jurisprudencial#
1369#1368#4.04.01 ausência de citação, certidão, cópia ou interior teor do acórdão paradigma#
1370#1368#4.04.02 alegação de divergência fundada em paradigmas oriundos de habeas corpus, mandado de segurança, recurso ordinário ou conflito de competência#
1371#1368#4.04.03 alegação de divergência fundada em súmulas, inclusive vinculante#
1372#1368#4.04.04 alegação de divergência com decisão monocrática#
1373#1368#4.04.05 Súmula 13/STJ - não cabe alegação de divergência jurisprudencial fundada em paradigma do mesmo tribunal de origem#
1374#1368#4.04.06 alegação de divergência fundada em julgado do STF#
1375#1368#4.04.07 alegação de divergência fundada em julgado do TST ou TRT#
1376#1368#4.04.08 alegação de divergência fundada em julgado de Turma Recursal#
1377#1368#4.04.09 alegação de divergência fundada em julgado de natureza administrativa#
1378#1368#4.04.10 ausência/deficiência de cotejo analítico#
1379#1364#4.05 Divergência não comprovada (genérica)#
1380#1434#11.01 Vícios que prejudicam a demonstração da divergência jurisprudencial#
1381#1380#11.01.01 ausência de identidade jurídica e/ou similitude fática entre os acórdãos confrontados#
1383##05. Não cabimento de Resp#
1384#1383#5.01 Não cabimento de recurso especial que alega violação a dispositivo constitucional#
1385#1383#5.02 Não cabe recurso especial fundado em tese eminentemente constitucional#
1386#1383#5.03 Não cabimento de recurso especial para aferir a existência ou não de omissão no acórdão recorrido acerca de matéria constitucional (arts. 1022 CPC e 535 do CPC/1973)#
1387#1383#5.04 Não cabimento de recurso especial que alega divergência de interpretação de norma constitucional#
1388#1383#5.05 Súmula 518/STJ - não cabe recurso especial que alega violação de enunciado de súmula#
1389#1383#5.06  Súmula 280/STF - indicação de violação a lei local (estadual ou municipal)#
1390#1383#5.07 Não cabe recurso especial fundado em tese de violação de lei federal por lei local, mas sim recurso extraordinário (art. 102, III, d, da CF, na redação dada pela EC n. 45/2004)#
1391#1413#6.01 Súmula 735/STF#
1392#1413#6.05 Súmula 126/STJ#
